timestamp,src_ip,dst_ip,protocol,size
1776062465.4703093,52.114.113.249,10.52.3.136,17,162
1776062465.4818795,52.114.113.249,10.52.3.136,17,150
1776062465.4953809,52.114.113.249,10.52.3.136,17,114
1776062465.4957867,52.114.113.249,10.52.3.136,17,114
1776062465.4989579,10.52.3.74,224.0.0.251,17,87
1776062465.5054317,52.114.113.249,10.52.3.136,17,157
1776062465.6266305,52.114.113.249,10.52.3.136,17,155
1776062465.6271698,52.114.113.249,10.52.3.136,17,161
1776062465.6273973,172.64.155.209,10.52.3.136,6,60
1776062465.6277673,52.114.113.249,10.52.3.136,17,154
1776062465.6282003,52.114.113.249,10.52.3.136,17,153
1776062465.6285868,52.114.113.249,10.52.3.136,17,150
1776062465.628886,52.114.113.249,10.52.3.136,17,157
1776062465.7284968,52.114.113.249,10.52.3.136,17,143
1776062465.7289722,52.114.113.249,10.52.3.136,17,150
1776062465.7293544,52.114.113.249,10.52.3.136,17,150
1776062465.729904,52.114.113.249,10.52.3.136,17,150
1776062465.7302992,52.114.113.249,10.52.3.136,17,157
1776062465.7420626,52.114.113.249,10.52.3.136,17,153
1776062465.816418,10.52.3.136,18.97.36.9,6,294
1776062465.8240535,52.114.113.249,10.52.3.136,17,150
1776062465.824511,52.114.113.249,10.52.3.136,17,147
1776062465.8248496,52.114.113.249,10.52.3.136,17,157
1776062465.8252208,52.114.113.249,10.52.3.136,17,605
1776062465.8257792,52.114.113.249,10.52.3.136,17,150
1776062465.8433204,52.114.113.249,10.52.3.136,17,154
1776062465.932951,52.114.113.249,10.52.3.136,17,159
1776062465.933451,52.114.113.249,10.52.3.136,17,152
1776062465.9338446,52.114.113.249,10.52.3.136,17,153
1776062465.9341185,52.114.113.249,10.52.3.136,17,154
1776062465.9429493,52.114.113.249,10.52.3.136,17,155
1776062465.9703593,10.52.3.136,52.114.113.249,17,158
1776062465.9803853,52.114.113.249,10.52.3.136,17,161
1776062465.9815626,10.52.2.115,224.0.0.251,17,122
1776062465.987955,52.114.113.249,10.52.3.136,17,153
1776062465.998728,10.52.2.193,224.0.0.251,17,229
1776062466.004835,52.114.113.249,10.52.3.136,17,157
1776062466.0234768,52.114.113.249,10.52.3.136,17,152
1776062466.0387745,18.97.36.9,10.52.3.136,6,60
1776062466.03927,18.97.36.9,10.52.3.136,6,172
1776062466.0453885,52.114.113.249,10.52.3.136,17,142
1776062466.0526974,10.52.2.193,224.0.0.251,17,187
1776062466.0649748,52.114.113.249,10.52.3.136,17,149
1776062466.0792778,10.52.3.136,18.97.36.9,6,54
1776062466.080853,52.114.113.249,10.52.3.136,17,134
1776062466.089305,52.114.113.249,10.52.3.136,17,114
1776062466.1045876,52.114.113.249,10.52.3.136,17,137
1776062466.1050284,52.114.113.249,10.52.3.136,17,614
1776062466.1105618,10.52.4.10,224.0.0.251,17,415
1776062466.1232862,52.114.113.249,10.52.3.136,17,148
1776062466.128283,52.114.113.249,10.52.3.136,17,146
1776062466.1418412,52.114.113.249,10.52.3.136,17,146
1776062466.161585,10.52.1.166,224.0.0.251,17,392
1776062466.1678457,10.52.3.153,224.0.0.251,17,427
1776062466.1705346,52.114.113.249,10.52.3.136,17,158
1776062466.2393477,52.114.113.249,10.52.3.136,17,153
1776062466.2398865,52.114.113.249,10.52.3.136,17,159
1776062466.240598,52.114.113.249,10.52.3.136,17,156
1776062466.2427523,52.114.113.249,10.52.3.136,17,146
1776062466.247855,10.52.3.136,52.114.113.249,17,178
1776062466.2633553,52.114.113.249,10.52.3.136,17,144
1776062466.3432202,52.114.113.249,10.52.3.136,17,140
1776062466.3439245,52.114.113.249,10.52.3.136,17,140
1776062466.34449,52.114.113.249,10.52.3.136,17,143
1776062466.3448997,52.114.113.249,10.52.3.136,17,142
1776062466.349651,10.52.2.29,239.255.255.250,17,167
1776062466.362117,52.114.113.249,10.52.3.136,17,145
1776062466.3713634,10.52.1.135,224.0.0.251,17,114
1776062466.3806403,10.52.3.136,52.114.113.249,17,182
1776062466.381373,52.114.113.249,10.52.3.136,17,142
1776062466.4436798,52.114.113.249,10.52.3.136,17,145
1776062466.4441597,52.114.113.249,10.52.3.136,17,142
1776062466.4445105,52.114.113.249,10.52.3.136,17,142
1776062466.4475338,10.52.3.136,52.114.113.249,17,158
1776062466.4628308,52.114.113.249,10.52.3.136,17,145
1776062466.547318,52.114.113.249,10.52.3.136,17,137
1776062466.5477152,52.114.113.249,10.52.3.136,17,128
1776062466.5480926,52.114.113.249,10.52.3.136,17,132
1776062466.5484278,52.114.113.249,10.52.3.136,17,114
1776062466.548783,52.114.113.249,10.52.3.136,17,129
1776062466.557047,10.52.3.136,52.114.113.249,17,158
1776062466.5576832,10.52.3.136,52.114.113.249,17,158
1776062466.5625372,52.114.113.249,10.52.3.136,17,123
1776062466.6489587,52.114.113.249,10.52.3.136,17,121
1776062466.6493669,52.114.113.249,10.52.3.136,17,121
1776062466.6497178,52.114.113.249,10.52.3.136,17,117
1776062466.6500435,52.114.113.249,10.52.3.136,17,114
1776062466.6503582,52.114.113.249,10.52.3.136,17,114
1776062466.650895,52.114.113.249,10.52.3.136,17,174
1776062466.6514437,52.114.113.249,10.52.3.136,17,119
1776062466.6582773,10.52.2.6,224.0.0.251,17,501
1776062466.661661,52.114.113.249,10.52.3.136,17,121
1776062466.750808,52.114.113.249,10.52.3.136,17,123
1776062466.7512634,52.114.113.249,10.52.3.136,17,122
1776062466.7516031,52.114.113.249,10.52.3.136,17,121
1776062466.752006,52.114.113.249,10.52.3.136,17,174
1776062466.7523823,52.114.113.249,10.52.3.136,17,117
1776062466.7622657,52.114.113.249,10.52.3.136,17,119
1776062466.7831788,52.114.113.249,10.52.3.136,17,122
1776062466.7856586,52.114.113.249,10.52.3.136,17,632
1776062466.8013244,10.52.2.29,224.0.0.251,17,119
1776062466.804053,52.114.113.249,10.52.3.136,17,116
1776062466.8086193,10.52.4.122,239.255.255.250,17,179
1776062466.8214118,52.114.113.249,10.52.3.136,17,121
1776062466.8534749,52.114.113.249,10.52.3.136,17,118
1776062466.8617873,52.114.113.249,10.52.3.136,17,117
1776062466.8730862,10.52.2.239,239.255.255.250,17,212
1776062466.8829284,52.114.113.249,10.52.3.136,17,118
